City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date 
busselton,-33.65,115.33,57.0,51,0,20.09,AU,1592773346
mataura,-46.19,168.86,32.81,92,0,1.74,NZ,1592773347
hualmay,-11.1,-77.61,66.43,74,22,8.23,PE,1592773348
kavieng,-2.57,150.8,83.07,73,33,4.63,PG,1592773349
bredasdorp,-34.53,20.04,57.2,93,66,3.09,ZA,1592773350
qaanaaq,77.48,-69.36,39.38,72,8,3.53,GL,1592773352
cherskiy,68.75,161.3,82.45,26,21,15.86,RU,1592773353
victoria,22.29,114.16,86.0,74,99,10.0,HK,1592773061
punta arenas,-53.15,-70.92,37.4,93,75,4.7,CL,1592773355
bougouni,11.42,-7.48,87.15,46,18,2.19,ML,1592773356
hohhot,40.81,111.65,68.0,82,20,4.47,CN,1592773357
torbay,47.67,-52.73,55.0,54,90,13.87,CA,1592773358
maun,-19.98,23.42,57.2,41,0,6.93,BW,1592773359
albany,42.6,-73.97,91.99,39,52,1.01,US,1592773242
bubaque,11.28,-15.83,81.7,86,35,15.88,GW,1592773361
thompson,55.74,-97.86,57.2,87,90,10.29,CA,1592773362
puerto ayora,-0.74,-90.35,78.8,69,20,24.16,EC,1592773364
yellowknife,62.46,-114.35,79.0,40,20,20.8,CA,1592773365
georgetown,5.41,100.34,80.6,94,20,3.36,MY,1592773226
kodiak,57.79,-152.41,53.6,81,75,10.29,US,1592773367
ouadda,8.08,22.4,68.59,93,100,3.04,CF,1592773368
barrow,71.29,-156.79,42.8,75,90,16.11,US,1592773189
pangnirtung,66.15,-65.71,46.4,70,75,16.11,CA,1592773370
dikson,73.51,80.55,43.88,72,53,14.83,RU,1592773372
vaini,-21.2,-175.2,77.0,88,75,4.7,TO,1592773373
ponta do sol,32.67,-17.1,69.8,64,20,17.22,PT,1592773374
saskylakh,71.92,114.08,52.66,63,65,8.52,RU,1592773376
atuona,-9.8,-139.03,80.26,63,0,8.61,PF,1592773377
ushuaia,-54.8,-68.3,37.4,89,24,5.82,AR,1592773378
turukhansk,65.82,87.98,50.02,59,7,11.45,RU,1592773379
mecca,21.43,39.83,83.3,43,92,2.28,SA,1592773380
ilulissat,69.22,-51.1,48.2,58,40,5.82,GL,1592773381
kapaa,22.08,-159.32,82.4,65,40,12.75,US,1592773382
esperance,-33.87,121.9,41.0,86,0,12.75,AU,1592773242
turkan,40.36,50.22,78.8,54,4,20.8,AZ,1592773384
teya,60.38,92.63,47.08,92,100,1.79,RU,1592773385
castro,-24.79,-50.01,61.32,79,0,3.89,BR,1592773212
lebu,-37.62,-73.65,51.04,83,100,9.69,CL,1592773388
bluff,-46.6,168.33,38.73,82,0,5.1,NZ,1592773389
port alfred,-33.59,26.89,60.01,89,2,3.0,ZA,1592773391
mar del plata,-38.0,-57.56,55.99,66,20,13.87,AR,1592773131
tiksi,71.69,128.87,44.06,78,4,13.11,RU,1592773366
jamestown,42.1,-79.24,84.2,39,20,8.05,US,1592773394
youhao,47.87,128.83,54.64,93,98,2.71,CN,1592773395
padang,-0.95,100.35,77.31,82,98,5.19,ID,1592773396
shush,32.19,48.24,86.72,24,0,12.86,IR,1592773397
shasta lake,40.68,-122.37,98.01,22,44,3.0,US,1592773399
geraldton,-28.77,114.6,60.8,44,0,17.22,AU,1592773400
imbituba,-28.24,-48.67,80.6,44,0,3.36,BR,1592773401
tanout,14.97,8.89,95.18,10,28,8.99,NE,1592773402
watertown,42.37,-71.18,88.0,54,1,13.87,US,1592773290
shitanjing,39.23,106.34,59.54,76,100,6.87,CN,1592773404
hithadhoo,-0.6,73.08,83.52,68,13,4.41,MV,1592773405
avarua,-21.21,-159.78,73.4,64,100,11.41,CK,1592773301
hobart,-42.88,147.33,53.6,93,75,5.82,AU,1592773363
cidreira,-30.18,-50.21,72.16,69,31,8.66,BR,1592773408
yerbogachen,61.28,108.01,63.03,64,51,3.8,RU,1592773202
inhambane,-23.86,35.38,65.19,77,0,4.14,MZ,1592773411
kaka,37.35,59.61,89.02,24,0,12.88,TM,1592773412
pisco,-13.7,-76.22,64.99,77,90,5.82,PE,1592773414
cape town,-33.93,18.42,57.99,93,75,8.05,ZA,1592773394
palm beach,26.71,-80.04,86.0,70,75,9.17,US,1592773416
matagami,49.75,-77.63,75.2,73,90,6.93,CA,1592773239
clovis,36.83,-119.7,97.0,27,40,8.05,US,1592773143
high level,58.52,-117.14,77.0,47,75,12.75,CA,1592773419
sinnamary,5.38,-52.95,80.91,77,2,10.29,GF,1592773421
coihaique,-45.58,-72.07,46.4,70,75,3.36,CL,1592773422
port elizabeth,-33.92,25.57,59.0,82,0,11.41,ZA,1592773328
herat,34.5,62.0,78.39,16,0,4.7,AF,1592773426
douentza,15.0,-2.95,100.67,19,71,10.98,ML,1592773427
iqaluit,63.75,-68.51,44.6,65,75,5.82,CA,1592773265
upernavik,72.79,-56.15,41.54,72,100,3.51,GL,1592773429
teeli,51.03,90.23,41.65,82,100,5.59,RU,1592773430
evensk,61.95,159.23,61.7,53,86,2.93,RU,1592773431
kingsland,30.8,-81.69,89.01,63,68,1.01,US,1592773432
masvingo,-20.06,30.83,52.79,55,0,3.29,ZW,1592773435
provideniya,64.38,-173.3,57.2,58,0,8.95,RU,1592773436
robertson,36.52,-86.87,73.4,94,40,6.93,US,1592773437
gizo,-8.1,156.84,82.87,73,14,6.62,SB,1592773438
aklavik,68.22,-135.01,55.4,62,75,5.82,CA,1592773439
norman wells,65.28,-126.83,53.6,100,90,13.87,CA,1592773440
san juan,-31.54,-68.54,58.69,35,35,5.44,AR,1592773296
cockburn town,21.46,-71.14,86.0,70,40,9.17,TC,1592773442
okato,-39.2,173.88,57.0,61,5,1.01,NZ,1592773444
olafsvik,64.89,-23.71,55.0,72,17,23.0,IS,1592773446
tyrma,50.08,132.17,51.24,94,100,9.84,RU,1592773447
adrar,20.5,-10.07,103.44,9,38,13.51,MR,1592773326
bonavista,48.65,-53.11,54.82,66,96,14.88,CA,1592773449
copperas cove,31.12,-97.9,91.4,49,20,13.87,US,1592773450
bengkulu,-3.8,102.27,76.37,88,97,4.61,ID,1592773451
naze,28.37,129.48,73.4,100,75,11.41,JP,1592773452
nikitinskiy,54.58,86.01,47.14,89,98,2.37,RU,1592773453
camacha,33.08,-16.33,69.8,73,40,10.29,PT,1592773454
nicoya,10.15,-85.45,91.4,59,75,6.93,CR,1592773456
thunder bay,48.4,-89.32,73.4,56,75,13.87,CA,1592773458
veraval,20.9,70.37,84.34,80,96,17.22,IN,1592773459
shimoda,34.67,138.95,63.0,95,100,7.0,JP,1592773460
ribeira grande,38.52,-28.7,68.0,88,40,11.41,PT,1592773461
swift current,50.28,-107.8,62.6,59,40,8.05,CA,1592773462
tuatapere,-46.13,167.68,37.8,79,0,3.42,NZ,1592773463
chernyakhovsk,54.63,21.82,64.62,96,100,7.67,RU,1592773464
nikolskoye,59.7,30.79,60.8,55,0,6.71,RU,1592773465
rikitea,-23.12,-134.97,70.54,70,75,18.79,PF,1592773467
tasiilaq,65.61,-37.64,50.0,71,100,2.24,GL,1592773468
ostrovnoy,68.05,39.51,58.37,56,100,16.49,RU,1592773469
sorland,67.67,12.69,61.57,65,66,9.35,NO,1592773470
hilo,19.73,-155.09,78.8,65,90,4.7,US,1592773471
alexandria,31.22,29.96,74.93,73,0,15.03,EG,1592773275
san jose de rio tinto,14.93,-85.7,86.25,54,6,7.14,HN,1592773473
faya,18.39,42.45,71.6,60,67,1.83,SA,1592773474
longhua,23.61,114.19,79.77,85,94,1.3,CN,1592773475
chardara,41.25,67.97,75.15,27,18,2.84,KZ,1592773476
kaitangata,-46.28,169.85,34.48,86,0,3.83,NZ,1592773477
sechura,-5.56,-80.82,74.93,58,7,16.04,PE,1592773479
clyde river,70.47,-68.59,44.6,81,1,5.82,CA,1592773371
puerto madryn,-42.77,-65.04,52.29,45,30,6.71,AR,1592773481
